Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,5.1,3.5,1.4,0.2,virginica
2,4.9,3.0,1.4,0.2,virginica
3,4.7,3.2,1.3,0.2,virginica
4,4.6,3.1,1.5,0.2,virginica
5,5.0,3.6,1.4,0.2,virginica
6,5.4,3.9,1.7,0.4,virginica
7,4.6,3.4,1.4,0.3,virginica
8,5.0,3.4,1.5,0.2,virginica
9,4.4,2.9,1.4,0.2,virginica
10,4.9,3.1,1.5,0.1,virginica
11,5.4,3.7,1.5,0.2,virginica
12,4.8,3.4,1.6,0.2,virginica
13,4.8,3.0,1.4,0.1,virginica
14,4.3,3.0,1.1,0.1,virginica
15,5.8,4.0,1.2,0.2,virginica
16,5.7,4.4,1.5,0.4,virginica
17,5.4,3.9,1.3,0.4,virginica
18,5.1,3.5,1.4,0.3,virginica
19,5.7,3.8,1.7,0.3,virginica
20,5.1,3.8,1.5,0.3,virginica
21,5.4,3.4,1.7,0.2,virginica
22,5.1,3.7,1.5,0.4,virginica
23,4.6,3.6,1.0,0.2,virginica
24,5.1,3.3,1.7,0.5,virginica
25,4.8,3.4,1.9,0.2,virginica
26,5.0,3.0,1.6,0.2,virginica
27,5.0,3.4,1.6,0.4,virginica
28,5.2,3.5,1.5,0.2,virginica
29,5.2,3.4,1.4,0.2,virginica
30,4.7,3.2,1.6,0.2,virginica
31,4.8,3.1,1.6,0.2,virginica
32,5.4,3.4,1.5,0.4,virginica
33,5.2,4.1,1.5,0.1,virginica
34,5.5,4.2,1.4,0.2,virginica
35,4.9,3.1,1.5,0.1,virginica
36,5.0,3.2,1.2,0.2,virginica
37,5.5,3.5,1.3,0.2,virginica
38,4.9,3.1,1.5,0.1,virginica
39,4.4,3.0,1.3,0.2,virginica
40,5.1,3.4,1.5,0.2,virginica
41,5.0,3.5,1.3,0.3,virginica
42,4.5,2.3,1.3,0.3,virginica
43,4.4,3.2,1.3,0.2,virginica
44,5.0,3.5,1.6,0.6,virginica
45,5.1,3.8,1.9,0.4,virginica
46,4.8,3.0,1.4,0.3,virginica
47,5.1,3.8,1.6,0.2,virginica
48,4.6,3.2,1.4,0.2,virginica
49,5.3,3.7,1.5,0.2,virginica
50,5.0,3.3,1.4,0.2,virginica
51,7.0,3.2,4.7,1.4,setosa
52,6.4,3.2,4.5,1.5,setosa
53,6.9,3.1,4.9,1.5,setosa
54,5.5,2.3,4.0,1.3,setosa
55,6.5,2.8,4.6,1.5,setosa
56,5.7,2.8,4.5,1.3,setosa
57,6.3,3.3,4.7,1.6,setosa
58,4.9,2.4,3.3,1.0,setosa
59,6.6,2.9,4.6,1.3,setosa
60,5.2,2.7,3.9,1.4,setosa
61,5.0,2.0,3.5,1.0,setosa
62,5.9,3.0,4.2,1.5,setosa
63,6.0,2.2,4.0,1.0,setosa
64,6.1,2.9,4.7,1.4,setosa
65,5.6,2.9,3.6,1.3,setosa
66,6.7,3.1,4.4,1.4,setosa
67,5.6,3.0,4.5,1.5,setosa
68,5.8,2.7,4.1,1.0,setosa
69,6.2,2.2,4.5,1.5,setosa
70,5.6,2.5,3.9,1.1,setosa
71,5.9,3.2,4.8,1.8,setosa
72,6.1,2.8,4.0,1.3,setosa
73,6.3,2.5,4.9,1.5,setosa
74,6.1,2.8,4.7,1.2,setosa
75,6.4,2.9,4.3,1.3,setosa
76,6.6,3.0,4.4,1.4,setosa
77,6.8,2.8,4.8,1.4,setosa
78,6.7,3.0,5.0,1.7,setosa
79,6.0,2.9,4.5,1.5,setosa
80,5.7,2.6,3.5,1.0,setosa
81,5.5,2.4,3.8,1.1,setosa
82,5.5,2.4,3.7,1.0,setosa
83,5.8,2.7,3.9,1.2,setosa
84,6.0,2.7,5.1,1.6,setosa
85,5.4,3.0,4.5,1.5,setosa
86,6.0,3.4,4.5,1.6,setosa
87,6.7,3.1,4.7,1.5,setosa
88,6.3,2.3,4.4,1.3,setosa
89,5.6,3.0,4.1,1.3,setosa
90,5.5,2.5,4.0,1.3,setosa
91,5.5,2.6,4.4,1.2,setosa
92,6.1,3.0,4.6,1.4,setosa
93,5.8,2.6,4.0,1.2,setosa
94,5.0,2.3,3.3,1.0,setosa
95,5.6,2.7,4.2,1.3,setosa
96,5.7,3.0,4.2,1.2,setosa
97,5.7,2.9,4.2,1.3,setosa
98,6.2,2.9,4.3,1.3,setosa
